"","cpid","livelihood.strategies","livelihood.category","incomeid","variable","value"
"2344","KACHCHH","local Agriculture Labor","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"v7",1
"2346","KACHCHH","local unskilled labor  (factory, indian air force,company)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"v7",1
"2349","KACHCHH","migratory unskilled labor (factory)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1303,"v7",1
"2350","DEVAS"," paddy ","AGRICULTURE",101,"v7",1
"2351","DEVAS","Wheat","AGRICULTURE",102,"v7",1
"2352","DEVAS","pluses( Chawla,Urad,Moong)","AGRICULTURE",103,"v7",1
"2353","DEVAS","Tilli","AGRICULTURE",104,"v7",1
"2354","DEVAS","groundnut","AGRICULTURE",105,"v7",1
"2355","DEVAS","chillies","AGRICULTURE",106,"v7",1
"2356","DEVAS","jowar","AGRICULTURE",107,"v7",1
"2357","DEVAS","maize","AGRICULTURE",108,"v7",1
"2358","DEVAS","cotton","AGRICULTURE",109,"v7",1
"2359","DEVAS","Soyabean","AGRICULTURE",110,"v7",1
"2360","DEVAS","onion","AGRICULTURE",111,"v7",1
"2361","DEVAS","potato","AGRICULTURE",112,"v7",1
"2362","DEVAS","vegetable sale(garlic,gobi,batla,bitter gourd,balr,coriander,gawarfali,tumadi,chavlafali,fenugreek,raddish,carrot,spinach,tomato,surjnafali,giki,okra)","AGRICULTURE",113,"v7",1
"2363","DEVAS"," goat ","SHEEP/GOAT REARING",301,"v7",1
"2364","DEVAS","goat (for meat)","SHEEP/GOAT REARING",302,"v7",1
"2365","DEVAS","Dairy milk (from cow and buffalo) ","DAIRY CATTLE",401,"v7",1
"2366","DEVAS","hen ","OTHER LIVESTOCKS",501,"v7",1
"2367","DEVAS","bullocks","OTHER LIVESTOCKS",502,"v7",1
"2369","DEVAS"," cultivated fish(kamakaar,catla,girgit,mangrole)","FISHING/AQUACULTURE",602,"v7",1
"2372","DEVAS","Mahua (liquor)","HOME PRODUCTION(SMALL-SCALE PROCESSING)",703,"v7",1
"2376","DEVAS","Gobar khad (sale of cowdung )","HOME PRODUCTION(SMALL-SCALE PROCESSING)",707,"v7",1
"2377","DEVAS","Consumer goods (grocery store,flour mill)","TRADE/BUSINESS/SERVICES",801,"v7",1
"2379","DEVAS","Kamkaji Lakadi (sale of small timber)","TRADE/BUSINESS/SERVICES",803,"v7",1
"2380","DEVAS","construction contractor","TRADE/BUSINESS/SERVICES",804,"v7",1
"2386","DEVAS","Shahad(honey)","NTFP COLLECTION",903,"v7",1
"2387","DEVAS","Mahua fruit","NTFP COLLECTION",904,"v7",1
"2388","DEVAS","Government Salaried job(Choukidar,Aanganwadi Teacher,Forest Guard,M.P. police,School Teacher,Army,Patwari ","SALARIED JOB",1001,"v7",1
"2389","DEVAS","Private salaried job(doctor, truck driver)","SALARIED JOB",1002,"v7",1
"2391","DEVAS","Social Security Pension(widow pension,old age pension)","PENSION / REMITTANCES",1101,"v7",1
"2392","DEVAS","local agricultural labor (Hal chalana, bakhakhar chalana, kud-kachra saaf karna, buwai karna, nindai karna, dore chalana, dawai chhidkaw,pani chalana,faslo ki katai,kapas ki bunai, udhara(group agri labor))","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"v7",1
"2393","DEVAS","Bandhua mazdoor(bonded labor)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1202,"v7",1
"2394","DEVAS","local unskilled labor(saja-munafa,podha ropan, med bandi,Tendu-Patta)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"v7",1
"2395","DEVAS","local skilled labor(  carpenter,mistri, woodcutter)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1204,"v7",1
"2398","DEVAS","migratory unskilled labor (labor in company)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1303,"v7",1
"2399","KHANDWA"," Jowar","AGRICULTURE",101,"v7",1
"2400","KHANDWA","Maize","AGRICULTURE",102,"v7",1
"2401","KHANDWA"," Paddy ","AGRICULTURE",103,"v7",1
"2402","KHANDWA"," Wheat ","AGRICULTURE",104,"v7",1
"2403","KHANDWA"," Pulses ( Chana,Chawala, Masoor, Mung,Tuwar, Urad)","AGRICULTURE",105,"v7",1
"2404","KHANDWA"," vegetable(ballar, brinjal, okra,giki,pumpkin,fenugreek,spinach,tomato,chillies,bottlegourd,raddish,carrot)","AGRICULTURE",106,"v7",1
"2405","KHANDWA"," Cotton","AGRICULTURE",107,"v7",1
"2406","KHANDWA"," Mugfali","AGRICULTURE",108,"v7",1
"2407","KHANDWA"," Soyabean ","AGRICULTURE",109,"v7",1
"2408","KHANDWA","Sugarcane","AGRICULTURE",110,"v7",1
"2409","KHANDWA","Silk  Production","AGRICULTURE",111,"v7",1
"2411","KHANDWA"," Mahuwa flower","TREE BASED LIVELIHOOD",202,"v7",1
"2412","KHANDWA"," goat","SHEEP/GOAT REARING",301,"v7",1
"2413","KHANDWA","Dairy (cow milk,buffalo milk)","DAIRY CATTLE",401,"v7",1
"2414","KHANDWA"," bullocks","OTHER LIVESTOCKS",501,"v7",1
"2415","KHANDWA"," hen","OTHER LIVESTOCKS",502,"v7",1
"2418","KHANDWA","mahua liquor","HOME PRODUCTION(SMALL-SCALE PROCESSING)",701,"v7",1
"2420","KHANDWA","Consumer goods (cloth shop,flourmill,grocery store(kirana shop),fertilizer shop  ,multi hardware shop,medical shop,pesticide shop,xerox shop,electronic shop, petrol pump)","TRADE/BUSINESS/SERVICES",801,"v7",1
"2421","KHANDWA","Charwaha(shepherd)","TRADE/BUSINESS/SERVICES",802,"v7",1
"2424","KHANDWA","stitching ","TRADE/BUSINESS/SERVICES",805,"v7",1
"2434","KHANDWA"," charoli seeds","NTFP COLLECTION",901,"v7",1
"2436","KHANDWA","Government Salaried job(ASHA worker,Rojgar Sahayak,Post men, Police (Constable ),Teacher ( primary School,middle school,secondary school),Panchayat Sachiv,Army personnel,Forest Guard,Aganwadi Worker,peon in collectorate, siksha karmi,Govt . Peon,govt water supplyer,Peon  in Govt . Agriculture  dept)","SALARIED JOB",1001,"v7",1
"2437","KHANDWA","Private salaried job (Bus Conductor ,Development officer in NGO,Paraworker,private school teacher,driver )","SALARIED JOB",1002,"v7",1
"2439","KHANDWA","social securty pension (Handicap, widow, Old age ) ","PENSION / REMITTANCES",1101,"v7",1
"2440","KHANDWA","local agriculture labor (sugarcane,soyabean and wheat harvesting)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"v7",1
"2442","KHANDWA","local unskilled labor (NREGA labor,labor for collecting tendu leaves)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"v7",1
"2443","KHANDWA","migration for agriculture labor( wheat,soyabean and sugarcane harvesting)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1301,"v7",1
"2445","KHANDWA","migration for unskilled labor(construction site,Labor in private Company)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1303,"v7",1
"2446","MAHBUBNAGAR","rice ","AGRICULTURE",101,"v7",1
"2447","MAHBUBNAGAR","sorghum","AGRICULTURE",102,"v7",1
"2448","MAHBUBNAGAR","cotton","AGRICULTURE",103,"v7",1
"2449","MAHBUBNAGAR","pulses(blackgram,greengram,redgram,bengalgram,horsegram)","AGRICULTURE",104,"v7",1
"2450","MAHBUBNAGAR","ground nut","AGRICULTURE",105,"v7",1
"2454","MAHBUBNAGAR","castor","AGRICULTURE",109,"v7",1
"2455","MAHBUBNAGAR","sajja(type of sorghum)","AGRICULTURE",110,"v7",1
"2456","MAHBUBNAGAR","raagulu(type of sesame)","AGRICULTURE",111,"v7",1
"2457","MAHBUBNAGAR","vegetable(tomato,brinjal,onion,okra,chilli,bittergourd,sorakaya(type of brinjal),keera,beera(type of bitter gourd),potato,fenugreek,spinach and coriander)","AGRICULTURE",112,"v7",1
"2458","MAHBUBNAGAR","guava","TREE BASED LIVELIHOOD",201,"v7",1
"2461","MAHBUBNAGAR","custerd apple","TREE BASED LIVELIHOOD",204,"v7",1
"2462","MAHBUBNAGAR","pomergranate","TREE BASED LIVELIHOOD",205,"v7",1
"2464","MAHBUBNAGAR","lemon","TREE BASED LIVELIHOOD",207,"v7",1
"2465","MAHBUBNAGAR","nalla neredu (type of strawberry)","TREE BASED LIVELIHOOD",208,"v7",1
"2466","MAHBUBNAGAR","goat for meat","SHEEP/GOAT REARING",301,"v7",1
"2467","MAHBUBNAGAR","sheep for meat","SHEEP/GOAT REARING",302,"v7",1
"2468","MAHBUBNAGAR","cow for milk","DAIRY CATTLE",401,"v7",1
"2470","MAHBUBNAGAR","hen for meat","OTHER LIVESTOCKS",501,"v7",1
"2471","MAHBUBNAGAR","bullocks for agriculture","OTHER LIVESTOCKS",502,"v7",1
"2477","MAHBUBNAGAR","perhisable goods(mutton shop,chicken shop,tea shop,jewellary)","TRADE/BUSINESS/SERVICES",802,"v7",1
"2480","MAHBUBNAGAR","private transport business(auto,tractor,lorry(owner))","TRADE/BUSINESS/SERVICES",805,"v7",1
"2481","MAHBUBNAGAR","mobile shop(recharge & repair)","TRADE/BUSINESS/SERVICES",806,"v7",1
"2482","MAHBUBNAGAR","pds dealer","TRADE/BUSINESS/SERVICES",807,"v7",1
"2484","MAHBUBNAGAR","govt.salaried job(teacher,police(s.i),conistable,village revenue officer,vatenary doctor,home guard,bank manager,sarpanch)","SALARIED JOB",1001,"v7",1
"2485","MAHBUBNAGAR","private salaried job(watchman,teacher,mechanic worker,sales man)","SALARIED JOB",1002,"v7",1
"2486","MAHBUBNAGAR","govt/private pension(retirement)","SALARIED JOB",1003,"v7",1
"2489","MAHBUBNAGAR","social secretary pension(old age pension,widow pension,disabled penson)","PENSION / REMITTANCES",1101,"v7",1
"2490","MAHBUBNAGAR","local agriculture labor","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"v7",1
"2491","MAHBUBNAGAR","local skilled labor(centering worker,mistri,carpenter,welder)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1202,"v7",1
"2492","MAHBUBNAGAR","local unskilled labor(construction labor)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"v7",1
"2494","MAHBUBNAGAR","migratory skilled labor(mistri, dry cleanerwork in mumbai city)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1302,"v7",1
"2497","MALKANGIRI","Paddy","AGRICULTURE",102,"v7",1
"2498","MALKANGIRI","Ragi(millet)","AGRICULTURE",103,"v7",1
"2499","MALKANGIRI","sua(fox tail millet)","AGRICULTURE",104,"v7",1
"2500","MALKANGIRI","Alsi","AGRICULTURE",105,"v7",1
"2501","MALKANGIRI","Vegetable(Ash gourd, banglore baigano,beans,bitter gourd,bottle gourd,brinjal,butter beans,cabbage,cauliflower,chillies,dhonia,drumsticks,evy gourd,garlic,ginger,kidney beans,lady's finger,pumpkin,raddish,ridge gourd,snake gourd,kohlrabi,spinach,sweet root,tomato , tumeric)","AGRICULTURE",106,"v7",1
"2502","MALKANGIRI","pulses (black gram,boroboti,dongor rani, green gram, horse gram, jhudungo, pigeon pea)","AGRICULTURE",107,"v7",1
"2505","MALKANGIRI","onion","AGRICULTURE",110,"v7",1
"2506","MALKANGIRI","potato","AGRICULTURE",111,"v7",1
"2507","MALKANGIRI","seasame","AGRICULTURE",112,"v7",1
"2509","MALKANGIRI","Sweet corn","AGRICULTURE",114,"v7",1
"2513","MALKANGIRI","mango","TREE BASED LIVELIHOOD",204,"v7",1
"2514","MALKANGIRI","Tamarind","TREE BASED LIVELIHOOD",205,"v7",1
"2516","MALKANGIRI","Goat for meat","SHEEP/GOAT REARING",301,"v7",1
"2517","MALKANGIRI","Sheep for meat","SHEEP/GOAT REARING",302,"v7",1
"2519","MALKANGIRI","Bullocks for agriculture","OTHER LIVESTOCKS",502,"v7",1
"2520","MALKANGIRI","Cow for agriculture","OTHER LIVESTOCKS",503,"v7",1
"2523","MALKANGIRI","hen for meat","OTHER LIVESTOCKS",506,"v7",1
"2525","MALKANGIRI","sale of wild fish(chigudi,kalipati,kapdu,moya)","FISHING/AQUACULTURE",601,"v7",1
"2526","MALKANGIRI","sale of cultivated fish(american carp,grass carp,silver carp,telapia)","FISHING/AQUACULTURE",602,"v7",1
"2528","MALKANGIRI","stone business","HOME PRODUCTION(SMALL-SCALE PROCESSING)",702,"v7",1
"2532","MALKANGIRI","Solopo(local drink)","TRADE/BUSINESS/SERVICES",801,"v7",1
"2539","MALKANGIRI","consumer goods(Grocery shop)","TRADE/BUSINESS/SERVICES",808,"v7",1
"2557","MALKANGIRI","govt salaried job(Anganwadi helper,anganbadi karmi,army personnel, asha didi,clerk in malkangiri  college, peon in panchayat office, police, post master, peon in tahesildaar office,teacher,watchman)","SALARIED JOB",1002,"v7",1
"2559","MALKANGIRI","social security pension(disabled pension, old age pension, widow pension)","PENSION / REMITTANCES",1101,"v7",1
"2560","MALKANGIRI","local agriculture labor","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"v7",1
"2562","MALKANGIRI","local unskilled labor(construction labor,nrega labor,plumber)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"v7",1
"2565","MALKANGIRI","migratory unkilled labor(construction labor, labor in factory)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1303,"v7",1
"2572","PALAMU","Pulses(Gram,Masuri,Tur,Kurthi,Khesari)","AGRICULTURE",107,"v7",1
"2573","PALAMU","Lentil","AGRICULTURE",108,"v7",1
"2578","PALAMU","sesame","AGRICULTURE",113,"v7",1
"2579","PALAMU","Tisi","AGRICULTURE",114,"v7",1
"2580","PALAMU","Bell","TREE BASED LIVELIHOOD",201,"v7",1
"2582","PALAMU","Mahua fruit (private sources)","TREE BASED LIVELIHOOD",203,"v7",1
"2584","PALAMU","Goat ","SHEEP/GOAT REARING",301,"v7",1
"2586","PALAMU","Cow ","OTHER LIVESTOCKS",501,"v7",1
"2591","PALAMU","Hen ","OTHER LIVESTOCKS",506,"v7",1
"2597","PALAMU","Ghee ","HOME PRODUCTION(SMALL-SCALE PROCESSING)",703,"v7",1
"2602","PALAMU","Private transport business(tractor,Commander,Balero, Cressor)","TRADE/BUSINESS/SERVICES",804,"v7",1
"2605","PALAMU","Consumer goods(grocery store )","TRADE/BUSINESS/SERVICES",807,"v7",1
"2615","PALAMU","Seed of chakwar ","NTFP COLLECTION",901,"v7",1
"2616","PALAMU","Seed of vantulsi ","NTFP COLLECTION",902,"v7",1
"2619","PALAMU"," Fire Wood ","NTFP COLLECTION",905,"v7",1
"2620","PALAMU","Tendu leaves","NTFP COLLECTION",906,"v7",1
"2622","PALAMU","Bamboo ","NTFP COLLECTION",908,"v7",1
"2624","PALAMU","Private salaried Job(Driver ,Civil  engineer)","SALARIED JOB",1002,"v7",1
"2629","PALAMU","local unskilled labor (stone works, soil related labor,NREGA )","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"v7",1
"2632","PALAMU","migratory unskilled labor(building construction, bridge construction, works in cressor) ","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1303,"v7",1
"2633","BANKURA","Potato","AGRICULTURE",107,"v7",1
"2634","BANKURA","Khasla (oil seed)","AGRICULTURE",108,"v7",1
"2642","BANKURA","Sheep ","SHEEP/GOAT REARING",301,"v7",1
"2643","BANKURA","Goat ","SHEEP/GOAT REARING",302,"v7",1
"2644","BANKURA","Cow ","DAIRY CATTLE",401,"v7",1
"2645","BANKURA","Bullock ","OTHER LIVESTOCKS",501,"v7",1
"2646","BANKURA","Buffalo ","OTHER LIVESTOCKS",502,"v7",1
"2647","BANKURA","Duck (Egg and meat)","OTHER LIVESTOCKS",503,"v7",1
"2648","BANKURA","Hen (Egg and meat)","OTHER LIVESTOCKS",504,"v7",1
"2653","BANKURA","Mat (made from leaves of date tree)","HOME PRODUCTION(SMALL-SCALE PROCESSING)",701,"v7",1
"2661","BANKURA","sale of kerosene (from PDS)","TRADE/BUSINESS/SERVICES",805,"v7",1
"2663","BANKURA","Consumer goods (grocery shop,Medicine shop,Dashakarma shop[idols,dieties],Garment shop,shoes shop,Stationary shop,variety shop,Hardware shop,cement & rod shop,fertilizer shop,Tin,Asbestor,  )","TRADE/BUSINESS/SERVICES",807,"v7",1
"2678","BANKURA","Bamboo collected from forest","NTFP COLLECTION",901,"v7",1
"2679","BANKURA","Govt. salaried Job (indian oil corporation,income tax dept, high school teacher, primary teacher,doctor,Railway clerk, central reserve police force,PWD night guard,Supply Inspector,panchayat secretary,ITBM,WBP,BSF,Army,Vetenary compounder,High school teacher,Post office Peon,Health dept,BLRO Peon,Block office,clerk,Kolkata Police,Central Industrial Security Force,School clerk,Railway police force,Supervisor in ICDS,Aganwari teacher,Nursery teacher,BDO,ADO,Post master,Bank Peon,Kangsabati Corporation's employee, Damodar valley corporation)","SALARIED JOB",1001,"v7",1
"2680","BANKURA","Private Salaried Job (Driver,Law clerk,Tata motors,Cook in Military Canteen, Civic police,Engineer,Private Company,Fertilizer factory,Vest Factory,Data entry operator,Iron factory,Advocate,Nurse)","SALARIED JOB",1002,"v7",1
"2683","BANKURA","local agriculture labour (Harvesting & Sowing)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"v7",1
"2684","BANKURA","local skilled labor (rajmistri,bhata labor,mechanical labor,private cook) ","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1202,"v7",1
"2685","BANKURA","local unskilled labor(NREGA,Roof maker,Helper)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"v7",1
"2686","BANKURA","migratory agriculture labor(sowing and harvesting of paddy)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1301,"v7",1
"2688","BANKURA","migratory unskilled labor(labor for soil works,road/bridge/building construction,stone chipping, labor in hotel, worker in wholesale shop,labor in mill,helper with truck/bus,power plant,R.N factory)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1303,"v7",1
"2691","KACHCHH"," Sesame ","AGRICULTURE",103,"v8",1
"2692","KACHCHH","Pulses (Mug, Math)","AGRICULTURE",104,"v8",1
"2693","KACHCHH"," Sovin","AGRICULTURE",105,"v8",1
"2695","KACHCHH"," Castor","AGRICULTURE",107,"v8",1
"2696","KACHCHH"," Groundnut","AGRICULTURE",108,"v8",1
"2697","KACHCHH"," Bajra(Millet)","AGRICULTURE",109,"v8",1
"2698","KACHCHH"," Sorghum","AGRICULTURE",110,"v8",1
"2706","KACHCHH","Sheep","SHEEP/GOAT REARING",301,"v8",1
"2707","KACHCHH","Goat","SHEEP/GOAT REARING",302,"v8",1
"2708","KACHCHH","milk from cow","DAIRY CATTLE",401,"v8",1
"2709","KACHCHH","milk from buffalo","DAIRY CATTLE",402,"v8",1
"2712","KACHCHH","charcoal production","HOME PRODUCTION(SMALL-SCALE PROCESSING)",701,"v8",1
"2719","KACHCHH","consumer goods (Ration Shop)","TRADE/BUSINESS/SERVICES",807,"v8",1
"2723","KACHCHH","sale of wild honey ","NTFP COLLECTION",901,"v8",1
"2725","KACHCHH","Govt salaried job ( police,pwd,teacher,postman,aganvadiworker,aganvadi helper,elec tric board,state transport,b s f,Railway Police,Coast guard,Indian Army)","SALARIED JOB",1002,"v8",1
"2727","KACHCHH","social security pension (Window pension)","PENSION / REMITTANCES",1101,"v8",1
"2728","KACHCHH","local Agriculture Labor","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"v8",1
"2729","KACHCHH","local skilled labor(Mason, carpenter)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1202,"v8",1
"2730","KACHCHH","local unskilled labor  (factory, indian air force,company)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"v8",1
"2734","DEVAS"," paddy ","AGRICULTURE",101,"v8",1
"2735","DEVAS","Wheat","AGRICULTURE",102,"v8",1
"2736","DEVAS","pluses( Chawla,Urad,Moong)","AGRICULTURE",103,"v8",1
"2737","DEVAS","Tilli","AGRICULTURE",104,"v8",1
"2738","DEVAS","groundnut","AGRICULTURE",105,"v8",1
"2739","DEVAS","chillies","AGRICULTURE",106,"v8",1
"2740","DEVAS","jowar","AGRICULTURE",107,"v8",1
"2741","DEVAS","maize","AGRICULTURE",108,"v8",1
"2742","DEVAS","cotton","AGRICULTURE",109,"v8",1
"2743","DEVAS","Soyabean","AGRICULTURE",110,"v8",1
"2744","DEVAS","onion","AGRICULTURE",111,"v8",1
"2745","DEVAS","potato","AGRICULTURE",112,"v8",1
"2746","DEVAS","vegetable sale(garlic,gobi,batla,bitter gourd,balr,coriander,gawarfali,tumadi,chavlafali,fenugreek,raddish,carrot,spinach,tomato,surjnafali,giki,okra)","AGRICULTURE",113,"v8",1
"2747","DEVAS"," goat ","SHEEP/GOAT REARING",301,"v8",1
"2748","DEVAS","goat (for meat)","SHEEP/GOAT REARING",302,"v8",1
"2749","DEVAS","Dairy milk (from cow and buffalo) ","DAIRY CATTLE",401,"v8",1
"2750","DEVAS","hen ","OTHER LIVESTOCKS",501,"v8",1
"2751","DEVAS","bullocks","OTHER LIVESTOCKS",502,"v8",1
"2753","DEVAS"," cultivated fish(kamakaar,catla,girgit,mangrole)","FISHING/AQUACULTURE",602,"v8",1
"2754","DEVAS","bamboo products (tokani and tat)","HOME PRODUCTION(SMALL-SCALE PROCESSING)",701,"v8",1
"2755","DEVAS","Jhadu banana(broom making)","HOME PRODUCTION(SMALL-SCALE PROCESSING)",702,"v8",1
"2756","DEVAS","Mahua (liquor)","HOME PRODUCTION(SMALL-SCALE PROCESSING)",703,"v8",1
"2757","DEVAS","ET Banana (brick making)","HOME PRODUCTION(SMALL-SCALE PROCESSING)",704,"v8",1
"2758","DEVAS","Rassi Banana(rope making)","HOME PRODUCTION(SMALL-SCALE PROCESSING)",705,"v8",1
"2759","DEVAS","Kangi Banana( comb maker)","HOME PRODUCTION(SMALL-SCALE PROCESSING)",706,"v8",1
"2760","DEVAS","Gobar khad (sale of cowdung )","HOME PRODUCTION(SMALL-SCALE PROCESSING)",707,"v8",1
"2761","DEVAS","Consumer goods (grocery store,flour mill)","TRADE/BUSINESS/SERVICES",801,"v8",1
"2763","DEVAS","Kamkaji Lakadi (sale of small timber)","TRADE/BUSINESS/SERVICES",803,"v8",1
"2764","DEVAS","construction contractor","TRADE/BUSINESS/SERVICES",804,"v8",1
"2771","DEVAS","Mahua fruit","NTFP COLLECTION",904,"v8",1
"2772","DEVAS","Government Salaried job(Choukidar,Aanganwadi Teacher,Forest Guard,M.P. police,School Teacher,Army,Patwari ","SALARIED JOB",1001,"v8",1
"2773","DEVAS","Private salaried job(doctor, truck driver)","SALARIED JOB",1002,"v8",1
"2775","DEVAS","Social Security Pension(widow pension,old age pension)","PENSION / REMITTANCES",1101,"v8",1
"2776","DEVAS","local agricultural labor (Hal chalana, bakhakhar chalana, kud-kachra saaf karna, buwai karna, nindai karna, dore chalana, dawai chhidkaw,pani chalana,faslo ki katai,kapas ki bunai, udhara(group agri labor))","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"v8",1
"2777","DEVAS","Bandhua mazdoor(bonded labor)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1202,"v8",1
"2778","DEVAS","local unskilled labor(saja-munafa,podha ropan, med bandi,Tendu-Patta)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"v8",1
"2779","DEVAS","local skilled labor(  carpenter,mistri, woodcutter)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1204,"v8",1
"2782","DEVAS","migratory unskilled labor (labor in company)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1303,"v8",1
"2783","KHANDWA"," Jowar","AGRICULTURE",101,"v8",1
"2784","KHANDWA","Maize","AGRICULTURE",102,"v8",1
"2785","KHANDWA"," Paddy ","AGRICULTURE",103,"v8",1
"2786","KHANDWA"," Wheat ","AGRICULTURE",104,"v8",1
"2787","KHANDWA"," Pulses ( Chana,Chawala, Masoor, Mung,Tuwar, Urad)","AGRICULTURE",105,"v8",1
"2788","KHANDWA"," vegetable(ballar, brinjal, okra,giki,pumpkin,fenugreek,spinach,tomato,chillies,bottlegourd,raddish,carrot)","AGRICULTURE",106,"v8",1
"2789","KHANDWA"," Cotton","AGRICULTURE",107,"v8",1
"2790","KHANDWA"," Mugfali","AGRICULTURE",108,"v8",1
"2791","KHANDWA"," Soyabean ","AGRICULTURE",109,"v8",1
"2792","KHANDWA","Sugarcane","AGRICULTURE",110,"v8",1
"2793","KHANDWA","Silk  Production","AGRICULTURE",111,"v8",1
"2795","KHANDWA"," Mahuwa flower","TREE BASED LIVELIHOOD",202,"v8",1
"2796","KHANDWA"," goat","SHEEP/GOAT REARING",301,"v8",1
"2797","KHANDWA","Dairy (cow milk,buffalo milk)","DAIRY CATTLE",401,"v8",1
"2798","KHANDWA"," bullocks","OTHER LIVESTOCKS",501,"v8",1
"2799","KHANDWA"," hen","OTHER LIVESTOCKS",502,"v8",1
"2802","KHANDWA","mahua liquor","HOME PRODUCTION(SMALL-SCALE PROCESSING)",701,"v8",1
"2804","KHANDWA","Consumer goods (cloth shop,flourmill,grocery store(kirana shop),fertilizer shop  ,multi hardware shop,medical shop,pesticide shop,xerox shop,electronic shop, petrol pump)","TRADE/BUSINESS/SERVICES",801,"v8",1
"2805","KHANDWA","Charwaha(shepherd)","TRADE/BUSINESS/SERVICES",802,"v8",1
"2806","KHANDWA","blacksmith","TRADE/BUSINESS/SERVICES",803,"v8",1
"2807","KHANDWA","scrap dealer (kabad dukan)","TRADE/BUSINESS/SERVICES",804,"v8",1
"2808","KHANDWA","stitching ","TRADE/BUSINESS/SERVICES",805,"v8",1
"2809","KHANDWA","mobile shop ( repair and recharge )","TRADE/BUSINESS/SERVICES",806,"v8",1
"2810","KHANDWA","Doctor (private clinic)","TRADE/BUSINESS/SERVICES",807,"v8",1
"2811","KHANDWA","Mechanical buisness (motor cycle repair shop,Autoparts shop )","TRADE/BUSINESS/SERVICES",808,"v8",1
"2812","KHANDWA","Perishable goods ( pan shop, chicken shop, mutton shop,tea shop, restaurant)","TRADE/BUSINESS/SERVICES",809,"v8",1
"2820","KHANDWA","Government Salaried job(ASHA worker,Rojgar Sahayak,Post men, Police (Constable ),Teacher ( primary School,middle school,secondary school),Panchayat Sachiv,Army personnel,Forest Guard,Aganwadi Worker,peon in collectorate, siksha karmi,Govt . Peon,govt water supplyer,Peon  in Govt . Agriculture  dept)","SALARIED JOB",1001,"v8",1
"2821","KHANDWA","Private salaried job (Bus Conductor ,Development officer in NGO,Paraworker,private school teacher,driver )","SALARIED JOB",1002,"v8",1
"2823","KHANDWA","social securty pension (Handicap, widow, Old age ) ","PENSION / REMITTANCES",1101,"v8",1
"2824","KHANDWA","local agriculture labor (sugarcane,soyabean and wheat harvesting)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"v8",1
"2825","KHANDWA","local skilled labor (Mason, Carpenter)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1202,"v8",1
"2826","KHANDWA","local unskilled labor (NREGA labor,labor for collecting tendu leaves)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"v8",1
"2827","KHANDWA","migration for agriculture labor( wheat,soyabean and sugarcane harvesting)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1301,"v8",1
"2829","KHANDWA","migration for unskilled labor(construction site,Labor in private Company)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1303,"v8",1
"2830","MAHBUBNAGAR","rice ","AGRICULTURE",101,"v8",1
"2831","MAHBUBNAGAR","sorghum","AGRICULTURE",102,"v8",1
"2832","MAHBUBNAGAR","cotton","AGRICULTURE",103,"v8",1
